MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
3OC12-HSL,Inj_vol,0.0354584158495879,0.0354584158495879,210329_Smp_PS_B,210329,Smp,PS,B,NA,NA
3OC12-HSL,Inj_vol,0.0354584158495879,0.0354584158495879,210329_Smp_PS_C,210329,Smp,PS,C,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,103531,103531
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,49408,98816
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,43545,87090
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_Aloha_A,210329,Smp,Aloha,A,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_Aloha_B,210329,Smp,Aloha,B,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_Aloha_C,210329,Smp,Aloha,C,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,NA,NA
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_PS_A,210329,Smp,PS,A,51764,51764
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_PS_B,210329,Smp,PS,B,144405,144405
3OC6-HSL,Inj_vol,0.08774944596768793,0.08774944596768793,210329_Smp_PS_C,210329,Smp,PS,C,52692,52692
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,37007,37007
