Compound,210329_Std_250nMStdsInH2O_1,210329_Std_250nMStdsInH2O_2,210329_Std_250nMStdsInMatrix_1,210329_Std_250nMStdsInMatrix_2,210329_Std_H2OInMatrix_1,210329_Std_H2OInMatrix_2,210329_Blk_Blank1_A,210329_Blk_Blank1_B,210329_Blk_Blank1_C,210329_Blk_Blank2_A,210329_Blk_Blank2_B,210329_Blk_Blank2_C,210329_Blk_Blank3_A,210329_Blk_Blank3_B,210329_Blk_Blank3_C,210329_Blk_PPL_Blank_A,210329_Blk_PPL_Blank_B,210329_Blk_PPL_Blank_C,210329_Poo_TruePoo_Full1,210329_Poo_TruePoo_Full2,210329_Poo_TruePoo_Full3,210329_Poo_TruePoo_Half1,210329_Poo_TruePoo_Half2,210329_Poo_TruePoo_Half3,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210329_Smp_Mort_Test_A,210329_Smp_Mort_Test_B,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,675935,87576,1268660,760144,3023,NA,NA,NA,2191,NA,NA,2110,NA,NA,NA,NA,NA,2087,1991,NA,1763,NA,NA,1954,4025,2169,NA,NA,NA,1767,NA,NA,NA,3591,NA,NA,2285,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,379753,27522,711106,340752,NA,1764,1343,2396,NA,2041,2557,2050,NA,NA,2174,3571,1906,1842,1930,NA,NA,1449,1486,NA,2023,1490,2902,1919,NA,1920,NA,NA,NA,1373,NA,1463,NA,NA
"2,4 decadienal",15655631,12916381,15428379,13206829,40660,75815,39153,33126,62429,21648,65103,103841,21822,24704,34080,NA,NA,18644,71144,67788,59977,16263,38339,21438,118057,132175,17674,24387,27745,52327,51523,59411,72101,30892,91828,67532,22198,30801
"2,4 octadienal",9137598,7474331,9025186,7704356,23452,52806,65342,32057,36112,65450,16077,3397,15486,32274,13224,17414,31486,56406,51323,39466,26798,15373,21469,47076,38368,40350,11841,64539,24797,28679,45896,100056,72238,54601,61314,15651,26547,21328
3 Indolebutyric Acid,6140185,9325307,5443382,7882706,482452,357805,190473,94188,124774,58392,58549,117880,175282,145669,46682,NA,3564,NA,540666,573810,2193,268564,256215,238310,177509,118224,168404,361187,340672,14197,9342,25862,148337,183256,103067,57747,2284,48091
3 Indolepropionic Acid,4951550,8417504,4447168,7521172,2644,135723,93485,145855,91391,37342,9195,72162,13553,19045,10041,NA,3065,2243,183340,239196,182226,76181,99642,83308,79896,40274,88453,31376,49116,NA,8883,11619,NA,3465,10349,42268,36386,47147
3-Indoleacetonitrile,307536,351051,252944,308729,2323,8723,2348,NA,2724,15409,NA,NA,35553,22670,17479,NA,NA,5492,2322,24122,7083,2559,3468,2257,7146,15077,2052,2647,2773,2131,2316,2173,2756,2127,2041,36750,39722,17035
3OC10-HSL,71172080,76313584,82183088,95908192,28887,23969,NA,NA,NA,NA,NA,NA,NA,NA,NA,20640,36383,19120,45690,37865,33722,25204,13666,14711,NA,NA,NA,NA,8545,NA,45882,NA,78038,75737,88558,30814,NA,NA
3OC12-HSL,43521312,52464772,43008104,55246156,2169,NA,NA,NA,NA,NA,NA,NA,3044,2403,2946,NA,3720,2836,NA,NA,NA,2637,NA,2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3OC6-HSL,60314852,62485096,60896548,69866936,44095,NA,NA,NA,NA,NA,NA,NA,203471,167915,163132,44024,NA,NA,NA,103531,NA,NA,49408,43545,NA,NA,NA,NA,NA,NA,NA,NA,NA,40112,NA,51764,144405,52692
3OC8-HSL,28704164,32941860,27695514,32690550,29208,11069,336255,412523,2972,8806,48707,52517,NA,6028,17961,NA,5883,NA,37007,39534,25038,NA,NA,2808,72572,86946,124028,111994,98099,NA,NA,NA,75484,95162,59941,12288,27918,15696
3OHC12-HSL,42582144,51226880,43261056,54495276,8667,2836,NA,NA,NA,19236,NA,31237,NA,NA,NA,NA,3961,11138,10956,NA,15803,NA,NA,2326,NA,NA,NA,2810,15986,NA,124675,2622,101714,271573,76737,10053,25400,NA
7-dehydrocholesterol,1967299,468722,2990099,1819386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,NA,NA,1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707
Abscisic Acid,31822470,37095564,32917924,40737524,124712,112942,663980,685099,599750,235322,193694,285172,2625,9395,69289,9086,NA,NA,136423,159838,144785,46779,60723,54594,256879,236808,200202,16487,63114,16677,19500,45675,47357,54772,98677,34749,32336,26388
Acetosyringone,13115048,22075208,14255601,22182996,29365,5869,19673,22845,11265,20033,18729,44370,2590,38699,5225,8751,10874,21583,21228,14013,51369,6998,36608,NA,132491,17541,18041,5942,NA,43036,64571,19263,31719,31414,38172,29220,18141,13437
Acetovanillone,17319730,25450664,17209762,25614038,108884,118882,272218,302902,101064,87986,25337,45082,71450,220367,119968,73137,189458,112705,91608,82977,183169,125795,101175,106416,241527,159087,110140,96881,121351,86546,61083,122891,157961,210077,161746,169105,167054,180613
Acetyl-L-carnitine,162262112,168521872,249113856,248604320,2675443,4094389,344241,168759,178424,60643,13396,37916,10074,37389,52352,0,0,20028,4355983,5351364,5671155,2144403,3484368,3341472,2345662,1839915,1858567,218330,376164,152601,301660,63821,609686,392739,305210,839741,1008910,812317
Adenosyl Homocysteine,6266064,6206238,10400655,10644488,3806796,3209503,0,0,0,0,0,0,0,0,0,0,0,0,4504905,4876843,4192125,2234184,2348041,2085882,17914,NA,13206,NA,11149,538986,954439,672085,788801,501830,760209,5116,NA,103444
